org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,2,0,0,0,0,0,2,2,19676,0,-11980,-84812,-2490,0,2696325,4304,60,169,32,0
ShanghaiAILab,1,0,1,-3,0,0,0,0,98956,0,63029,1197454,0,2640,0,0,16,105,-1,0
Baidu,17,0,42,9,0,0,0,0,37612,0,293087,24391,0,0,0,0,111,682,41,0
Baichuan,0,0,0,0,0,0,0,0,66163,0,0,1264,0,0,0,0,0,-81,-9,0
Zhipu,-2,0,0,2,0,0,0,0,-2943772,93257,-161554,-149774,0,0,0,0,27,136,3,0
Ali,61,-44,-21,-4,-1,0,-1,0,19995714,-2082665,-1384819,3584963,284,0,3944498,0,2473,2101,308,0
Huawei,0,0,0,0,0,0,0,0,3841,0,0,0,0,0,0,0,0,0,0,0
LMSYS,-1,0,0,0,0,0,0,0,-40218,0,0,0,0,0,0,0,11,10,3,0
Falcon,-3,0,0,0,0,0,0,0,-142591,0,0,1417,0,0,0,0,48,35,3,0
EleutherAI,7,0,0,0,0,-1,0,0,-1144996,0,0,0,0,6622,0,0,48,-41,-2,0
Meta,-9,12,10,3,0,0,-1,0,-6000173,-2260082,2330398,-787796,229596,19037038,3541959,0,1697,1001,114,0
Google,4,0,1,11,0,0,0,0,-263530,1928,2308122,-4756735,0,0,-786,0,803,1650,120,0
Deepseek,1,0,0,0,0,0,0,0,-1920957,0,0,70471,0,0,0,0,276,1300,88,0
OpenBMB,16,1,1,5,0,0,0,0,248427,94,1683,-140169,0,0,84,0,35,460,50,0
01-AI,-1,0,0,0,0,0,0,0,77303,0,0,-377,0,0,0,0,2,-337,-12,0
Ai2,62,0,1,-1,0,0,-1,0,-311944,0,4014,-87273,0,0,170470,0,35,48,35,0
OpenAI,0,0,-1,0,0,0,0,0,0,0,345,-47802840,634,0,0,0,227,280,16,0
Nvidia,8,2,-6,8,0,0,6,3,398112,902431,-89110,133680,-840,0,-14995,-657,92,419,62,0
Microsoft,3,1,1,5,1,0,0,0,1287571,2293883,1534206,-34371,11934,0,0,0,95,857,50,0
Apple,3,0,7,3,0,0,0,0,-384344,0,116714,-219465,0,0,0,0,23,453,51,0
HuggingFace,2,0,0,-1,0,0,0,0,-79719,0,-2019,-1003,0,0,0,0,156,179,12,0
Princeton NLP,2,0,0,0,0,0,0,0,63114,0,0,0,0,0,0,0,9,5,1,0
UKP Lab,0,0,0,0,0,0,-4,0,0,0,0,60985,0,0,-2794126,0,106,228,-5,0
Tencent,6,1,1,1,1,0,0,0,39859,1869,-19363,99268,-127336,0,-196,-7,20,1767,75,0
ByteDance,2,0,1,1,4,0,-1,0,473192,0,33995,-160743,4122,0,-150,0,11,782,37,0
