org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,57,0,7,50,2,0,32,5,83275,0,3642,60891,427,0,21461543,7039,1349,8700,654,4
ShanghaiAILab,67,0,54,197,0,4,0,0,355711,0,188977,4365598,0,4746,0,0,812,7052,694,1
Baidu,17,0,42,9,0,0,0,0,37612,0,293087,24391,0,0,0,0,111,682,41,2
Baichuan,15,0,0,4,0,0,0,0,141430,0,0,2530,0,0,0,0,57,3479,261,1
Zhipu,52,3,4,25,0,0,0,0,1764225,377347,107642,186053,0,0,0,0,374,16477,1193,1
Ali,392,115,87,75,1,0,28,0,53462941,17495593,1593588,15565638,417,0,7922548,0,98058,68607,5081,1
Huawei,5,0,0,0,0,0,0,0,4586,0,0,0,0,0,0,0,3,5,10,2
LMSYS,25,0,0,0,0,0,0,0,350705,0,0,0,0,0,0,0,723,3539,174,1
Falcon,63,0,0,1,0,0,0,0,857585,0,0,1927,0,0,0,0,1252,8844,708,1
EleutherAI,53,0,0,0,0,1,0,0,1337320,0,0,0,0,98729,0,0,2988,4267,255,1
Meta,126,180,190,29,5,8,8,0,26967943,6106205,10689864,3025257,358766,32893414,3867484,0,27630,61987,4374,2
Google,133,5,55,84,0,0,2,0,4031293,5585,12379600,9088622,0,0,1483,0,45452,29452,2124,2
Deepseek,51,0,0,11,0,0,0,0,8313465,0,0,429986,0,0,0,0,4804,46866,1647,1
OpenBMB,45,1,1,22,0,0,2,0,667236,94,1683,323231,0,0,1752,0,163,7989,531,1
01-AI,25,0,0,2,0,0,0,0,288621,0,0,270,0,0,0,0,1081,4367,269,1
Ai2,159,0,1,7,0,0,7,0,553572,0,4014,272213,0,0,401716,0,928,4788,437,1
OpenAI,0,0,5,16,2,0,0,0,0,0,2095,50241689,6716,0,0,0,8108,14099,858,1
Nvidia,98,92,64,27,3,0,9,4,1467685,5126486,1587964,531796,673,0,33260,6998,1713,15199,986,1
Microsoft,74,20,64,71,2,0,0,0,9688350,4394109,9584413,6665127,12881,0,0,0,10012,35310,2181,1
Apple,14,0,45,15,0,0,0,0,1279245,0,1230958,573433,0,0,0,0,209,3473,296,1
HuggingFace,46,0,1,12,0,0,0,0,2037978,0,1969,522700,0,0,0,0,3657,8229,400,1
Princeton NLP,62,0,0,0,0,0,0,0,204945,0,0,0,0,0,0,0,769,535,140,1
UKP Lab,0,0,0,1,0,0,103,0,0,0,0,224621,0,0,147471578,0,1815,8562,549,1
Tencent,19,1,31,20,9,0,9,1,41721,1869,41081,202278,339964,0,1180,89,205,8656,322,1
ByteDance,18,0,9,25,4,0,0,0,564020,0,35650,420441,4122,0,0,0,178,8903,380,2
