org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,59,0,7,52,2,0,32,6,100240,0,3717,48987,263,0,24718591,6452,1372,9084,661,4
ShanghaiAILab,72,0,53,201,0,2,0,0,450147,0,163883,3962002,0,2551,0,0,820,7253,711,1
Baidu,14,0,44,8,0,0,0,0,43691,0,488927,140533,0,0,0,0,98,619,77,2
Baichuan,15,0,0,4,0,0,0,0,145992,0,0,1645,0,0,0,0,59,3455,260,1
Zhipu,58,3,4,23,0,0,0,0,1569397,242436,446949,646438,0,0,0,0,433,18123,1208,1
Ali,404,107,89,77,1,0,27,0,71218791,15179897,1938221,15836407,85,0,8423829,0,100921,74956,5070,1
Huawei,5,0,0,0,0,0,0,0,8670,0,0,0,0,0,0,0,3,5,10,2
LMSYS,30,0,0,0,0,0,0,0,341703,0,0,0,0,0,0,0,739,3558,177,1
Falcon,62,0,0,1,0,0,0,0,713477,0,0,1018,0,0,0,0,1309,8915,726,1
EleutherAI,52,0,0,0,0,1,0,0,1436200,0,0,0,0,84791,0,0,3029,4327,259,1
Meta,132,160,175,29,4,8,7,0,36961846,7508587,9137605,3302643,258113,6168129,7926285,0,29002,68931,4465,2
Google,159,3,59,75,0,0,1,0,4968644,1958,14380825,10816411,0,0,1403,0,46005,30886,2132,2
Deepseek,51,0,0,11,0,0,0,0,9533868,0,0,444676,0,0,0,0,5069,47791,1664,1
OpenBMB,49,1,1,19,0,0,2,0,678092,74,1280,378579,0,0,1127,0,168,8186,525,1
01-AI,25,0,0,2,0,0,0,0,303539,0,0,230,0,0,0,0,1065,4630,284,1
Ai2,156,0,3,7,0,0,6,0,764769,0,31194,283774,0,0,356038,0,936,4939,438,1
OpenAI,2,0,5,16,2,0,0,0,129005,0,6195,52047678,5793,0,0,0,8473,19207,1007,1
Nvidia,110,92,59,30,2,0,10,4,1276779,3581822,1386717,1170982,460,0,40028,5557,1879,15383,1025,1
Microsoft,84,19,62,68,2,1,0,0,9080696,1331337,8102378,7732301,21126,64,0,0,10327,35995,2222,1
Apple,13,0,36,13,0,0,0,0,1349843,0,1470737,519319,0,0,0,0,216,2673,306,1
HuggingFace,46,0,1,13,0,0,0,0,4564893,0,1743,802319,0,0,0,0,3917,9229,456,1
Princeton NLP,47,0,0,0,0,0,0,0,99693,0,0,0,0,0,0,0,761,540,120,1
UKP Lab,0,0,0,1,0,0,103,0,0,0,0,127824,0,0,145771223,0,1886,8748,560,1
Tencent,26,1,31,21,9,0,9,1,196271,2572,56164,66273,222665,0,808,73,257,9884,355,1
ByteDance,24,0,13,26,4,0,0,0,268419,0,29772,377919,2035,0,0,0,220,9507,410,2
