org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,0,0,0,4,0,0,1,0,29287,0,10223,42889,2460,0,1712885,2088,76,484,74,0
ShanghaiAILab,-1,0,2,17,0,2,0,0,99196,0,-361812,1258547,0,759,0,0,143,34,26,0
Baidu,-1,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,-3,-10,0,0
Baichuan,0,0,0,0,0,0,0,0,-195238,0,0,165,0,0,0,0,2,94,10,0
Zhipu,1,0,2,1,0,0,0,0,2812483,-23829,-38181,-42652,0,0,0,0,23,334,30,0
Ali,20,1,0,0,1,0,4,0,6604656,4933148,-44784,317730,53,0,-794903,0,3046,4197,395,0
Huawei,5,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,3,5,10,0
LMSYS,2,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,46,9,0,0
Falcon,25,0,0,0,0,0,0,0,274171,0,0,-95,0,0,0,0,33,256,40,0
EleutherAI,0,0,0,0,0,1,0,0,-211275,0,0,0,0,52417,0,0,263,43,0,0
Meta,9,-14,7,-4,2,0,-1,0,-174956,284237,-1765944,1095510,-80337,-15264714,31774,0,1428,1242,155,0
Google,17,2,0,-3,0,0,0,0,-750787,2872,660322,164360,0,0,-4664,0,1482,2035,79,0
Deepseek,-3,0,0,0,0,0,0,0,-254316,0,0,-45121,0,0,0,0,398,3304,146,0
OpenBMB,4,0,0,1,0,0,0,0,380744,0,0,-139045,0,0,-1434,0,0,329,28,0
01-AI,0,0,0,0,0,0,0,0,44570,0,0,70,0,0,0,0,-4,221,17,0
Ai2,12,0,0,1,0,0,0,0,597844,0,0,-154968,0,0,-49183,0,117,182,22,0
OpenAI,0,0,1,0,0,0,0,0,0,0,-1004,9552737,-1280,0,0,0,441,322,9,0
Nvidia,16,28,1,5,0,0,0,0,-636782,1756944,125160,353615,334,0,-2436,3952,234,2023,123,0
Microsoft,4,-1,2,-4,1,0,0,0,1851249,208403,1167033,518410,947,0,0,0,441,1025,57,0
Apple,1,0,0,-8,0,0,0,0,-22470,0,141544,301246,0,0,0,0,4,-142,-18,0
HuggingFace,0,0,0,1,0,0,0,0,-1027135,0,584,-210147,0,0,0,0,228,253,16,0
Princeton NLP,-2,0,0,0,0,0,0,0,-98518,0,0,0,0,0,0,0,25,3,0,0
UKP Lab,0,0,0,0,0,0,1,0,0,0,0,-18556,0,0,5020950,0,163,232,9,0
Tencent,10,0,17,8,2,0,9,1,1413,0,4302,-57392,-28364,0,1376,96,22,553,36,0
ByteDance,10,0,7,7,0,0,1,0,82527,0,1527,131450,0,0,150,0,65,1875,69,0
