org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,53,0,6,38,2,0,29,0,91894,0,8496,37930,1167,0,16980650,0,971,7238,518,4
ShanghaiAILab,57,0,44,132,0,3,0,0,218242,0,134004,4068457,0,4386,0,0,488,6127,563,1
Baidu,1,0,0,3,0,0,0,0,149,0,0,170,0,0,0,0,3,15,0,2
Baichuan,15,0,0,0,0,0,0,0,190491,0,0,0,0,0,0,0,48,3459,254,1
Zhipu,56,3,0,23,0,0,0,0,1425552,1114329,0,549172,0,0,0,0,169,15102,1071,1
Ali,280,156,110,70,3,0,23,0,14234230,10026342,1502496,6982385,229,0,5472330,0,85075,46113,3193,1
Huawei,11,0,0,0,0,0,0,0,9806,0,0,0,0,0,0,0,2,6,14,2
LMSYS,18,0,0,0,0,0,0,0,542164,0,0,0,0,0,0,0,748,3489,165,1
Falcon,50,0,0,1,0,0,0,0,965458,0,0,584,0,0,0,0,1299,8440,668,1
EleutherAI,52,0,0,0,0,1,0,0,1781396,0,0,0,0,29312,0,0,2839,4162,260,1
Meta,119,630,215,27,1,8,10,0,42564046,19887937,22540313,4319485,116,16351454,501794,0,20440,54254,3516,2
Google,99,3,39,68,0,0,2,0,6516178,1125,12227647,8039463,0,0,580,0,40206,20823,1645,2
