org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,1,0,-1,2,0,0,0,0,12510,0,2563,-19083,642,0,-40509,0,50,464,57,0
ShanghaiAILab,8,0,5,13,0,0,0,0,72428,0,29767,3324704,0,2600,0,0,73,1007,94,0
Baidu,0,0,0,2,0,0,0,0,59,0,0,108,0,0,0,0,0,4,0,0
Baichuan,4,0,0,0,0,0,0,0,19317,0,0,0,0,0,0,0,0,94,38,0
Zhipu,6,0,0,1,0,0,0,0,70856,1010784,0,-127037,0,0,0,0,29,250,25,0
Ali,7,6,-9,1,0,0,2,0,2807926,-2830712,58347,-765039,-110,0,2146322,0,5316,3796,242,0
Huawei,5,0,0,0,0,0,0,0,5947,0,0,0,0,0,0,0,0,1,7,0
LMSYS,0,0,0,0,0,0,0,0,59651,0,0,0,0,0,0,0,547,12,0,0
Falcon,-3,0,0,0,0,0,0,0,347374,0,0,-240,0,0,0,0,423,69,11,0
EleutherAI,6,0,0,0,0,0,0,0,467180,0,0,0,0,19436,0,0,1284,54,8,0
Meta,5,481,33,0,0,0,1,0,19358008,9110664,9453829,1084123,-2,2725358,44445,0,2554,1951,271,0
Google,7,0,3,15,0,0,0,0,1936893,-812,2633885,1772612,0,0,-904,0,527,838,84,0
