org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,0,0,2,3,0,0,0,0,-13945,0,-16102,-15349,-1106,0,-6443597,0,68,104,-29,0
ShanghaiAILab,2,0,0,31,0,-1,0,0,-57534,0,-16973,-65091,0,100,0,0,94,675,39,0
Baidu,1,0,0,1,0,0,0,0,90,0,0,62,0,0,0,0,3,11,0,0
Baichuan,1,0,0,0,0,0,0,0,13845,0,0,0,0,0,0,0,1,92,-28,0
Zhipu,-3,0,0,1,0,0,0,0,-77526,56156,0,-36249,0,0,0,0,0,293,12,0
Ali,1,2,-5,-12,-3,0,0,0,-31275063,740763,-2488289,949048,-765,0,-1725117,0,3312,2736,-49,0
Huawei,1,0,0,0,0,0,0,0,-2913,0,0,0,0,0,0,0,1,0,0,0
LMSYS,0,0,0,0,0,0,0,0,-257877,0,0,0,0,0,0,0,65,24,1,0
Falcon,33,0,0,0,0,0,0,0,18263,0,0,-4459,0,0,0,0,377,393,101,0
EleutherAI,-1,0,0,0,0,0,0,0,-618436,0,0,0,0,-10474,0,0,143,59,3,0
Meta,-5,-26,2,-1,0,0,1,0,-7601647,-578023,-625999,-1130695,-77,8297630,-237972,0,2120,2324,120,0
Google,-3,0,3,-11,0,0,1,0,-2485179,-417,-6840588,-764088,0,0,728,0,384,723,-26,0
