org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,52,0,7,36,2,0,29,0,79384,0,5933,57013,525,0,17021159,0,921,6774,461,4
ShanghaiAILab,49,0,39,119,0,3,0,0,145814,0,104237,743753,0,1786,0,0,415,5120,469,1
Baidu,1,0,0,1,0,0,0,0,90,0,0,62,0,0,0,0,3,11,0,2
Baichuan,11,0,0,0,0,0,0,0,171174,0,0,0,0,0,0,0,48,3365,216,1
Zhipu,50,3,0,22,0,0,0,0,1354696,103545,0,676209,0,0,0,0,140,14852,1046,1
Ali,273,150,119,69,3,0,21,0,11426304,12857054,1444149,7747424,339,0,3326008,0,79759,42317,2951,1
Huawei,6,0,0,0,0,0,0,0,3859,0,0,0,0,0,0,0,2,5,7,2
LMSYS,18,0,0,0,0,0,0,0,482513,0,0,0,0,0,0,0,201,3477,165,1
Falcon,53,0,0,1,0,0,0,0,618084,0,0,824,0,0,0,0,876,8371,657,1
EleutherAI,46,0,0,0,0,1,0,0,1314216,0,0,0,0,9876,0,0,1555,4108,252,1
Meta,114,149,182,27,1,8,9,0,23206038,10777273,13086484,3235362,118,13626096,457349,0,17886,52303,3245,2
Google,92,3,36,53,0,0,2,0,4579285,1937,9593762,6266851,0,0,1484,0,39679,19985,1561,2
