org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,55,0,7,38,2,0,29,0,61350,0,9049,58514,1649,0,14637765,0,1032,7531,531,4
ShanghaiAILab,65,0,45,139,0,3,0,0,234496,0,576966,3187791,0,1379,0,0,547,6393,601,1
Baidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Baichuan,15,0,0,2,0,0,0,0,209205,0,0,202,0,0,0,0,49,3524,248,1
Zhipu,51,3,0,22,0,0,0,0,1660128,93722,0,588575,0,0,0,0,175,15217,1073,1
Ali,279,153,106,81,1,0,23,0,16918196,9084702,1458583,10397779,250749,0,7854993,0,86575,50025,3347,1
Huawei,11,0,0,0,0,0,0,0,11561,0,0,0,0,0,0,0,2,6,15,2
LMSYS,23,0,0,0,0,0,0,0,524694,0,0,0,0,0,0,0,699,3501,168,1
Falcon,49,0,0,1,0,0,0,0,770612,0,0,670,0,0,0,0,1281,8491,662,1
EleutherAI,53,0,0,0,0,2,0,0,1707034,0,0,0,0,36042,0,0,2859,4190,262,1
Meta,122,702,208,35,1,8,13,0,50865232,20787263,15697573,3404453,157,29906176,481020,0,21421,55670,3733,2
Google,129,3,55,69,0,0,2,0,5982709,3063,14663540,14922136,0,0,1929,0,40935,21413,1733,2
Deepseek,57,0,0,11,0,0,0,0,16768936,0,0,981425,0,0,0,0,3201,35072,1139,1
OpenBMB,37,0,0,18,0,0,2,0,61970,0,0,1022186,0,0,8657,0,155,7213,467,1
01-AI,26,0,0,2,0,0,0,0,159579,0,0,419,0,0,0,0,1115,4426,269,1
Ai2,119,0,0,7,0,0,6,0,542675,0,0,282097,0,0,286148,0,722,4243,415,1
OpenAI,0,0,5,16,2,0,0,0,0,0,2958,102397991,7463,0,0,0,6722,12735,772,1
Nvidia,55,60,56,8,0,0,3,0,2081800,3049835,2255447,26015,0,0,363302,0,1154,10824,663,1
Microsoft,71,27,64,80,0,0,0,0,5923092,1320822,10715095,11643461,0,0,0,0,8763,29740,1891,1
Apple,10,0,41,17,0,0,0,0,1538460,0,788888,553848,0,0,0,0,177,2992,250,1
HuggingFace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Princeton NLP,98,0,0,0,0,0,0,0,190869,0,0,0,0,0,0,0,820,511,154,1
UKP Lab,0,0,0,1,0,0,111,0,0,0,0,146062,0,0,200085879,0,1314,7559,540,1
