org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,49,0,3,39,1,0,31,4,151070,0,2273,114501,141,0,22939093,6980,1448,9971,689,4
ShanghaiAILab,72,0,22,165,0,2,0,0,542723,0,186132,4928455,0,2768,0,0,1040,8003,859,1
Baidu,21,0,45,10,0,0,0,0,1464926,0,728637,495798,0,0,0,0,151,810,140,2
Baichuan,17,0,0,4,0,0,0,0,268723,0,0,1641,0,0,0,0,68,3706,277,1
Zhipu,74,3,4,30,0,0,0,0,1824886,294062,170529,1378187,0,0,0,0,512,20747,1368,1
Ali,346,112,99,86,2,0,29,0,67764547,45223311,3109126,18721890,345,0,9216309,0,104014,88307,6082,1
Huawei,5,0,0,0,0,0,0,0,9317,0,0,0,0,0,0,0,3,5,10,2
LMSYS,31,0,0,0,0,0,0,0,456654,0,0,0,0,0,0,0,735,3580,191,1
Falcon,57,0,0,1,0,0,0,0,624868,0,0,1349,0,0,0,0,1327,8961,719,1
EleutherAI,89,0,0,0,0,1,1,0,1357766,0,0,0,0,54930,52,0,3093,4424,285,1
Meta,133,159,189,31,4,8,5,0,44000475,7429392,8487790,2982966,317572,12049530,8132225,0,30521,70749,4618,2
Google,161,4,56,89,0,0,4,0,22618981,3779,17243118,11941008,0,0,36502,0,47124,33759,2280,2
Deepseek,65,0,0,11,0,0,0,0,13601110,0,0,866830,0,0,0,0,5361,50097,1781,1
OpenBMB,54,0,0,35,0,0,2,0,700399,0,0,555641,0,0,986,0,220,9938,612,1
01-AI,26,0,0,2,0,0,0,0,245526,0,0,310,0,0,0,0,1063,4538,278,1
Ai2,448,0,3,9,0,0,10,4,666158,0,75236,309252,0,0,334833,3109,1087,5363,550,1
OpenAI,2,0,5,16,2,0,0,0,12003235,0,7668,44562909,3225,0,0,0,9050,21923,1144,1
Nvidia,140,96,77,33,3,3,10,5,1009838,3882286,1168944,1333931,384,563,140467,7272,2033,17564,1186,1
Microsoft,99,20,64,78,2,9,0,0,8534393,1530905,5986744,6633614,13564,1434,0,0,10592,38496,2325,1
Apple,13,0,35,25,0,0,0,0,422205,0,1408981,665070,0,0,0,0,215,4049,351,1
HuggingFace,64,0,1,13,0,0,0,0,2803101,0,2148,712011,0,0,0,0,4029,9154,613,1
Princeton NLP,42,0,0,0,0,0,0,0,118774,0,0,0,0,0,0,0,747,539,110,1
UKP Lab,0,0,0,1,0,0,103,0,0,0,0,111418,0,0,144799506,0,1942,8992,577,1
Tencent,35,1,18,13,7,0,2,0,39948,1101,49978,55575,256256,0,287,0,330,12092,439,1
ByteDance,24,0,5,18,4,0,0,0,437483,0,18329,475692,1988,0,0,0,294,10407,466,2
MistralAI,30,0,0,5,0,0,0,0,3600584,0,0,495060,0,0,0,0,10995,31456,1843,1
StanfordNLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moonshot,6,0,1,5,0,0,0,0,663954,0,196,233618,0,0,0,0,119,4724,176,1
MLFoundations,1,0,0,0,0,0,0,0,11187,0,0,0,0,0,0,0,15,25,4,1
Salesforce,53,0,0,25,0,0,7,0,1672668,0,0,4904501,0,0,176963,0,559,6301,595,1
Meituan,4,0,0,0,0,0,0,0,38099,0,0,0,0,0,0,0,5,520,42,1
Xiaomi,5,0,0,6,0,0,0,0,42762,0,0,110999,0,0,0,0,8,770,50,1
