org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.109375,0.0,0.015873015873015872,0.23636363636363636,0.14285714285714285,0.0,0.30097087378640774,0.8,0.0022293368241655923,0.0,0.00013182070667265631,0.0025694238228478306,0.0004439938029801116,0.0,0.15841969101745415,0.9598459845984598,0.013921202914992213,0.11291290611163328,0.11328510358434725,1.0,0.19845995661318777,6,-3.0
ShanghaiAILab,0.16071428571428573,0.0,0.1164021164021164,1.0,0.0,0.2222222222222222,0.0,0.0,0.008008951937655542,0.0,0.010794567432641823,0.11059545057976354,0.0,0.00022971850354329174,0.0,0.0,0.009998654027342473,0.09062701711076132,0.14123643538309766,0.25,0.10604147096567149,11,-2.0
Baidu,0.046875,0.0,0.23809523809523808,0.06060606060606061,0.0,0.0,0.0,0.0,0.021617882282899344,0.0,0.042256684666891454,0.011125799709350213,0.0,0.0,0.0,0.0,0.0014517276520468398,0.00917254577779791,0.023018743834265044,0.5,0.04771098413122747,16,-1.0
Baichuan,0.03794642857142857,0.0,0.0,0.024242424242424242,0.0,0.0,0.0,0.0,0.003965539679620377,0.0,0.0,3.682434645368416e-05,0.0,0.0,0.0,0.0,0.0006537581479416232,0.041967227966072905,0.04554422887208155,0.25,0.020217821591301147,26,-2.0
Zhipu,0.16517857142857142,0.018867924528301886,0.021164021164021163,0.18181818181818182,0.0,0.0,0.0,0.0,0.026929804459550212,0.006502442954696528,0.009889684684637662,0.03092677365384742,0.0,0.0,0.0,0.0,0.004922414290383987,0.2349417373481151,0.2249260111805327,0.25,0.05880337837554199,15,-2.0
Ali,0.7723214285714286,0.7044025157232704,0.5238095238095238,0.5212121212121212,0.2857142857142857,0.0,0.2815533980582524,0.0,1.0,1.0,0.18031112470494026,0.4201227078779799,0.0010863678158024007,0.0,0.0636487599619297,0.0,1.0,1.0,1.0,0.25,0.4502091116724768,2,0.0
Huawei,0.011160714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001374907737522395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.884227123271867e-05,5.6620652949369815e-05,0.001644195988161789,0.5,0.02565139319859052,23,-2.0
LMSYS,0.06919642857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00673883350832405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007066356452016075,0.040540387511748786,0.031404143373890164,0.25,0.020247307470870383,25,-2.0
Falcon,0.12723214285714285,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.009221163981218675,0.0,0.0,3.0271811923229697e-05,0.0,0.0,0.0,0.0,0.01275789797527256,0.10147553421586057,0.11821769154883262,0.25,0.03124976542254283,22,-3.0
EleutherAI,0.19866071428571427,0.0,0.0,0.0,0.0,0.1111111111111111,0.009708737864077669,0.0,0.020036524408552456,0.0,0.0,0.0,0.0,0.0045586840316593265,3.591172472646419e-07,0.0,0.029736381640932952,0.05009795372960241,0.04685958566261098,0.25,0.03603850259257542,21,-1.0
