org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,55,0,7,46,2,0,29,1,46500,0,5605,65470,680,0,15978730,112,1109,7804,538,4
ShanghaiAILab,65,0,51,142,0,3,0,0,214096,0,211131,1064144,0,11000,0,0,570,6443,597,1
Baidu,1,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,3,8,0,2
Baichuan,15,0,0,2,0,0,0,0,171997,0,0,431,0,0,0,0,50,3437,257,1
Zhipu,47,3,2,21,0,0,0,0,1663277,276004,207769,384635,0,0,0,0,192,15216,1117,1
Ali,279,163,111,76,2,0,22,0,21861797,18232997,2804816,8805491,145,0,8423344,0,89760,57177,3911,1
Huawei,5,0,0,0,0,0,0,0,7250,0,0,0,0,0,0,0,2,5,9,2
LMSYS,23,0,0,0,0,0,0,0,1699250,0,0,0,0,0,0,0,733,3518,170,1
Falcon,41,0,0,1,0,0,0,0,812113,0,0,293,0,0,0,0,1280,8515,662,1
EleutherAI,45,0,0,0,0,1,0,0,2266426,0,0,0,0,60527,0,0,2857,4213,254,1
Meta,127,206,180,26,1,8,11,0,33915756,11352674,15610376,3524888,43838,20940235,5932714,0,22682,57877,3937,2
Google,107,3,52,81,0,0,2,0,8711840,2294,20823685,9480348,0,0,1237,0,42194,24547,1871,2
Deepseek,58,0,0,11,0,0,0,0,13252639,0,0,718262,0,0,0,0,3811,39853,1284,1
OpenBMB,31,0,0,16,0,0,2,0,51387,0,0,1363546,0,0,4621,0,136,7270,467,1
01-AI,26,0,0,2,0,0,0,0,222549,0,0,513,0,0,0,0,1138,4439,272,1
Ai2,91,0,0,8,0,0,7,0,608218,0,0,1610818,0,0,291190,0,791,4453,391,1
OpenAI,0,0,5,17,2,0,0,0,0,0,3819,92725341,5250,0,0,0,7111,13129,819,1
Nvidia,54,66,70,13,2,0,3,1,1149916,3098637,1351583,26585,624,0,103842,2607,1213,10693,699,1
Microsoft,62,19,63,76,0,0,0,0,6340265,7363532,7502953,8272450,0,0,0,0,9201,30956,1952,1
Apple,10,0,42,20,0,0,0,0,1537947,0,915100,782267,0,0,0,0,181,3128,260,1
HuggingFace,54,0,1,12,0,0,0,0,3151123,0,15025,288403,0,0,0,0,3181,7639,368,1
Princeton NLP,60,0,0,0,0,0,0,0,157722,0,0,0,0,0,0,0,828,520,139,1
UKP Lab,0,0,0,1,0,0,110,0,0,0,0,99670,0,0,180240039,0,1434,7839,544,1
