org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,52,0,5,33,2,0,29,0,93329,0,22035,72362,1631,0,23464756,0,853,6670,490,4
ShanghaiAILab,47,0,39,88,0,4,0,0,203348,0,121210,808844,0,1686,0,0,321,4445,430,1
Baidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Baichuan,10,0,0,0,0,0,0,0,157329,0,0,0,0,0,0,0,47,3273,244,1
Zhipu,53,3,0,21,0,0,0,0,1432222,47389,0,712458,0,0,0,0,140,14559,1034,1
Ali,272,148,124,81,6,0,21,0,42701367,12116291,3932438,6798376,1104,0,5051125,0,76447,39581,3000,1
Huawei,5,0,0,0,0,0,0,0,6772,0,0,0,0,0,0,0,1,5,7,2
LMSYS,18,0,0,0,0,0,0,0,740390,0,0,0,0,0,0,0,136,3453,164,1
Falcon,20,0,0,1,0,0,0,0,599821,0,0,5283,0,0,0,0,499,7978,556,1
EleutherAI,47,0,0,0,0,1,0,0,1932652,0,0,0,0,20350,0,0,1412,4049,249,1
Meta,119,175,180,28,1,8,8,0,30807685,11355296,13712483,4366057,195,5328466,695321,0,15766,49979,3125,2
Google,95,3,33,64,0,0,1,0,7064464,2354,16434350,7030939,0,0,756,0,39295,19262,1587,2
