org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips,score,rank,delta rank
BAAI,0.17684887459807075,0.0,0.04046242774566474,0.25136612021857924,0.3333333333333333,0.0,0.27358490566037735,1.0,0.0010352691506689542,0.0,0.000533212976067142,0.0011618478694611586,0.0009219955453694438,0.0,0.11740412324978015,0.1747231974075074,0.013107986902819353,0.1291466722303359,0.12517131110095933,1.0,0.1819400638994497,5,0.0
ShanghaiAILab,0.21543408360128619,0.0,0.2947976878612717,1.0,0.0,0.25,0.0,0.0,0.004753904526412035,0.0,0.048171876496852964,0.021579368626640536,0.0,4.625513674110413e-05,0.0,0.0,0.0070564842931088514,0.11094705419762795,0.1528095020557332,0.25,0.11777981083978373,9,0.0
Baidu,0.003215434083601286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59912756427648e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2418763980591965e-05,0.00016049045884222182,0.0,0.5,0.02517049712169942,21,0.0
Baichuan,0.04823151125401929,0.0,0.0,0.02185792349726776,0.0,0.0,0.0,0.0,0.008161735882539796,0.0,0.0,1.244183189329017e-05,0.0,0.0,0.0,0.0,0.0005943440063108527,0.055625993034714084,0.05938784833257195,0.25,0.02219358989196585,24,-1.0
Zhipu,0.17041800643086816,0.016483516483516484,0.011560693641618497,0.12021857923497267,0.0,0.0,0.0,0.0,0.05719186199758429,0.0210253798025416,0.030356992951396537,0.004276995543270273,0.0,0.0,0.0,0.0,0.0035012265099039325,0.25689707746874446,0.26496116948378257,0.25,0.06034457497740997,12,-1.0
Ali,1.0,0.8681318681318682,0.6242774566473989,0.43169398907103823,0.16666666666666666,0.0,0.2358490566037736,0.0,0.810503353461019,1.0,0.2985746750008148,0.131796912870744,0.0001613996578327254,0.0,0.03286144847613567,0.0,1.0,1.0,1.0,0.25,0.44252584132936457,2,0.0
Huawei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.025,22,-2.0
LMSYS,0.07717041800643087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011780802938243021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007196965603691417,0.05649264151246208,0.039058931018730016,0.25,0.02208498795397787,25,-3.0
Falcon,0.13183279742765272,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.021905181269859353,0.0,0.0,6.836792275604499e-06,0.0,0.0,0.0,0.0,0.012654124207091064,0.13726748944775233,0.15189584285061672,0.25,0.03555133764347824,18,-2.0
EleutherAI,0.14790996784565916,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.08127161537711411,0.0,0.0,0.0,0.0,0.0013629297529728455,0.0,0.0,0.02892834372534823,0.0684491806962076,0.05870260392873458,0.25,0.03808123206630183,17,-2.0
