org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,55,0,7,46,2,0,29,3,34312,0,5399,102814,457,0,17052333,647,1213,8047,548,4
ShanghaiAILab,67,0,51,183,0,2,0,0,157559,0,487760,1909597,0,1347,0,0,653,6913,669,1
Baidu,1,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,3,10,0,2
Baichuan,15,0,0,4,0,0,0,0,270505,0,0,1101,0,0,0,0,55,3466,260,1
Zhipu,53,3,2,22,0,0,0,0,1895514,307919,307377,378479,0,0,0,0,324,16007,1160,1
Ali,311,158,108,79,1,0,25,0,26862571,14645110,3023191,11662945,80,0,4772953,0,92539,62309,4378,1
Huawei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LMSYS,24,0,0,0,0,0,0,0,390452,0,0,0,0,0,0,0,666,3520,171,1
Falcon,41,0,0,1,0,0,0,0,726005,0,0,605,0,0,0,0,1171,8553,665,1
EleutherAI,46,0,0,0,0,1,0,0,2693591,0,0,0,0,39690,0,0,2677,4265,257,1
Meta,126,182,173,30,3,8,10,0,33143072,8082050,10125410,2717543,209507,29121090,293751,0,24505,59744,4105,2
Google,112,3,54,76,0,0,2,0,5045610,785,9411156,13680997,0,0,6933,0,43167,25767,1925,2
Deepseek,53,0,0,11,0,0,0,0,10488738,0,0,404636,0,0,0,0,4130,42262,1413,1
OpenBMB,25,0,0,16,0,0,2,0,38065,0,0,602445,0,0,3102,0,128,7200,453,1
01-AI,26,0,0,2,0,0,0,0,166748,0,0,577,0,0,0,0,1083,4483,264,1
Ai2,85,0,0,7,0,0,8,0,267672,0,0,514454,0,0,280429,0,776,4558,380,1
OpenAI,0,0,5,16,2,0,0,0,0,0,2754,88491792,7362,0,0,0,7440,13497,833,1
Nvidia,74,62,69,14,3,0,3,1,1706355,2467111,1551914,44501,1179,0,50691,3703,1387,12757,801,1
Microsoft,67,20,61,70,0,0,0,0,6549530,1891823,6883174,6181088,0,0,0,0,9476,33428,2074,1
Apple,10,0,38,20,0,0,0,0,1686059,0,972700,491652,0,0,0,0,182,3162,263,1
HuggingFace,44,0,1,12,0,0,0,0,3144832,0,3404,733850,0,0,0,0,3273,7797,372,1
Princeton NLP,62,0,0,0,0,0,0,0,240349,0,0,0,0,0,0,0,735,527,139,1
UKP Lab,0,0,0,1,0,0,106,0,0,0,0,182192,0,0,145244754,0,1546,8102,545,1
Tencent,3,0,13,11,6,0,0,0,449,0,56142,160402,495664,0,0,0,163,6336,211,1
ByteDance,6,0,1,17,0,0,0,0,8301,0,128,449734,0,0,0,0,102,6246,274,2
